"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2012"

"Taajama";"Väkiluku";"Maapinta-ala km²";"Väestöntiheys"
"Sulkavan kk.";1234;3.30;373.9
"Sumiaisten kk.";453;1.35;335.6
"Sundom";3629;15.84;229.1
"Suolahden kt.";4553;8.59;530.0
"Suomenlinna";756;0.62;1219.4
"Suomussalmen kk.";959;2.18;439.9
"Suonenjoen kt.";5356;12.06;444.1
"Syrjäntaka";556;2.37;234.6
"Sysmän kk.";2138;5.96;358.7
"Syvänniemi";243;1.29;188.4
"Säkylän kk.";3169;9.55;331.8
"Sälinkää";259;1.63;158.9
"Särkisalmi";446;2.56;174.2
"Säyneinen";222;1.28;173.4
"Sääksjärvi";258;2.47;104.5
"Söderby";531;3.76;141.2
"Söderkulla";7622;35.83;212.7
"Söyrylä";212;1.88;112.8
"Söörmarkku";578;2.94;196.6
"Taalintehdas";1240;3.81;325.5
"Taavetti";2168;5.00;433.6
"Taipalsaaren kk.";862;2.39;360.7
"Taivalkosken kk.";2001;5.10;392.4
"Taivassalon kk.";658;2.88;228.5
"Takamaa";525;3.05;172.1
"Tammisaaren kt.";8756;11.96;732.1
"Tampereen kt.";317316;265.86;1193.5
"Tarvasjoen kk.";885;3.61;245.2
"Tavastila";566;3.79;149.3
"Teerijärvi";963;4.70;204.9
"Teijo";379;2.17;174.7
"Tenhola";761;2.94;258.8
"Teponmäki";378;3.00;126.0
"Tervakoski";4151;7.95;522.1
"Tervola2";228;1.75;130.3
"Tervolan kk.";1105;3.17;348.6
"Tervon kk.";574;1.72;333.7
"Tesjoki";961;2.68;358.6
"Teuvan kk.";2976;15.46;192.5
"Tiistenjoki";245;2.04;120.1
"Tikkakoski";4345;5.75;755.7
"Tiukka";220;1.68;131.0
"Toholammin kk.";1651;7.29;226.5
"Toija";551;1.91;288.5
"Toijalan kt.";8376;15.68;534.2
"Toivakan kk.";1005;2.78;361.5
"Toivala - Vuorela";5452;9.27;588.1
"Tolpanniemi";1296;2.06;629.1
"Tornion kt.";17196;34.83;493.7
"Träskby";592;5.15;115.0
"Tupos";2734;4.06;673.4
"Turenki";7804;13.72;568.8
"Turun kt.";254671;254.62;1000.2
