"14x5 -- Taajamat väkiluvun ja väestöntiheyden mukaan, 2023"

"Vuosi";"Taajama";"Väestö 31.12.";"Maapinta-ala, km²";"Väestöntiheys"
"2023";"Hartolan kk.";1335;5.29;252.4
"2023";"Hauhon kk.";1076;3.02;356.3
"2023";"Haukivuoren as.seutu";678;2.86;237.1
"2023";"Heikkilä";936;2.87;326.1
"2023";"Heinlammi";221;1.92;115.1
"2023";"Heinolan kk.";2132;5.89;362.0
"2023";"Heinolan kt.";13682;16.50;829.2
"2023";"Heinävaara";427;2.30;185.7
"2023";"Heinäveden kk.";1309;3.68;355.7
"2023";"Helsingby";880;4.12;213.6
"2023";"Helsingin kt.";1375555;689.46;1995.1
"2023";"Hepola";1523;3.47;438.9
"2023";"Herrala";474;2.62;180.9
"2023";"Hikiä";999;3.44;290.4
"2023";"Himangan kk.";1619;6.03;268.5
"2023";"Hinnerjoki";362;2.85;127.0
"2023";"Hinthaara";815;3.90;209.0
"2023";"Hirsilä";300;1.81;165.7
"2023";"Hirvaskangas";504;1.94;259.8
"2023";"Hirvensalmen kk.";690;1.97;350.3
"2023";"Hollolan kk.";640;4.66;137.3
"2023";"Honkajoen kk.";709;3.86;183.7
"2023";"Huittula";285;1.81;157.5
"2023";"Humppilan as.seutu";1318;6.08;216.8
"2023";"Huttukylä";248;2.01;123.4
"2023";"Hyrynsalmen kk.";1148;3.71;309.4
"2023";"Hytti";282;2.58;109.3
"2023";"Hyvinkään kt.";43817;37.98;1153.7
"2023";"Hähkänä";953;3.00;317.7
"2023";"Häijää";407;1.93;210.9
"2023";"Häiviä";298;3.49;85.4
"2023";"Hämeenkoski";1012;4.15;243.9
"2023";"Hämeenlinnan kt.";52063;49.94;1042.5
"2023";"Ihode";581;3.99;145.6
"2023";"Iin Hamina";6691;21.23;315.2
"2023";"Iisalmen kt.";14719;17.82;826.0
"2023";"Iisvesi";378;1.82;207.7
"2023";"Iitin kk.";253;1.78;142.1
"2023";"Iitiä";296;1.87;158.3
"2023";"Iittala";2281;6.63;344.0
"2023";"Ikaalisten kt.";3858;6.33;609.5
"2023";"Ikkala";253;2.36;107.2
"2023";"Ilmajoki - Kurikka";13076;57.34;228.0
"2023";"Ilola";320;2.77;115.5
"2023";"Ilomantsin kk.";2328;7.43;313.3
