"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2017"

"Vuosi";"Taajama";"Väestö 31.12.";"Maapinta-ala, km²";"Väestöntiheys asukasta/km²"
"2017";"Reisjärven kk.";1174;4.15;282.8
"2017";"Rengon kk.";1173;4.26;275.5
"2017";"Renum - Jakari";276;3.06;90.2
"2017";"Reposaari";770;1.52;505.1
"2017";"Revonlahti";428;2.44;175.7
"2017";"Riihikoski";1555;5.99;259.4
"2017";"Riihimäen kt.";27964;31.65;883.5
"2017";"Ristiinan kk.";2246;4.25;528.4
"2017";"Ristijärven kk.";564;2.24;251.4
"2017";"Risö";2684;9.12;294.4
"2017";"Rova";343;0.63;548.8
"2017";"Rovaniemen kt.";52753;58.88;896.0
"2017";"Ruka";220;3.76;58.6
"2017";"Ruotanen";433;2.24;193.2
"2017";"Ruotsalo";291;2.04;142.7
"2017";"Ruotsinpyhtään kk.";486;1.96;248.5
"2017";"Ruoveden kk.";1958;6.52;300.2
"2017";"Ruukki";1183;4.05;292.2
"2017";"Ruutana";3606;9.44;382.1
"2017";"Rymättylän kk.";772;2.42;319.6
"2017";"Ryttylä";1642;3.56;460.9
"2017";"Rääkkylän kk.";588;2.37;248.0
"2017";"Röykkä";1652;3.75;440.9
"2017";"Röylä";208;2.31;89.9
"2017";"Saarijärven kt.";4992;13.25;376.6
"2017";"Saariselkä";315;2.23;141.2
"2017";"Saarlammi";241;2.36;101.9
"2017";"Sahalahden kk.";1200;3.27;366.6
"2017";"Saimaanharju";1838;2.97;619.7
"2017";"Sallan kk.";1645;3.79;433.7
"2017";"Salon kt.";29496;38.55;765.2
"2017";"Sammatin kk.";1010;3.91;258.5
"2017";"Sasi";260;1.56;166.4
"2017";"Sattanen";200;1.23;162.3
"2017";"Saukkola";1006;4.43;227.2
"2017";"Sauvon kk.";1253;3.81;328.7
"2017";"Savijärvi";247;1.31;188.2
"2017";"Savitaipaleen kk.";1829;5.78;316.3
"2017";"Savonlinnan kt.";21897;22.83;959.1
"2017";"Savonrannan kk.";421;2.03;207.7
"2017";"Savukosken kk.";387;2.19;176.6
"2017";"Seinäjoen kt.";49992;55.64;898.5
"2017";"Sieppijärvi";228;1.40;162.5
"2017";"Sievin kk.";1806;4.60;392.9
"2017";"Siikaisten kk.";423;2.03;208.6
"2017";"Siikajoenkylä";440;2.60;169.5
"2017";"Siilinjärven kk.";11416;22.86;499.3
"2017";"Siltakylä";2878;10.85;265.4
"2017";"Simon as.seutu";830;3.08;269.5
"2017";"Simon kk.";244;1.80;135.5
"2017";"Simpele";1685;4.98;338.6
"2017";"Sinettä";428;2.22;192.9
"2017";"Sirkka";571;6.59;86.6
"2017";"Siuntion as.seutu";2293;3.55;646.2
"2017";"Siuntion kk.";354;1.88;188.8
"2017";"Siuro";2376;5.34;445.0
"2017";"Sodankylän kk.";5166;13.17;392.3
"2017";"Soinin kk.";986;3.91;252.5
"2017";"Soinlahti";294;3.01;97.6
"2017";"Soklot";327;2.44;134.2
"2017";"Sokoja";235;1.63;144.6
"2017";"Someron kt.";5016;12.66;396.3
"2017";"Sonkajärven kk.";1340;3.03;442.5
"2017";"Sorsakoski";728;2.47;295.1
"2017";"Sotkia";216;1.88;114.8
"2017";"Storby";387;2.96;130.9
"2017";"Stormi";223;1.99;112.1
"2017";"Störsvik";268;1.42;189.2
