"11s8 -- Taajamat väkiluvun ja väestöntiheyden mukaan, 2018"

"Vuosi";"Taajama";"Väestö 31.12.";"Maapinta-ala, km²";"Väestöntiheys"
"2018";"Taipalsaaren kk.";909;2.91;312.4
"2018";"Taivalkosken kk.";1877;5.78;324.7
"2018";"Taivassalon kk.";638;3.12;204.5
"2018";"Takamaa";532;3.04;175.0
"2018";"Tammisaaren kt.";8556;12.53;682.8
"2018";"Tammisilta";216;2.31;93.5
"2018";"Tampereen kt.";337541;277.54;1216.2
"2018";"Tarvasjoen kk.";862;3.25;265.2
"2018";"Teerijärvi";1008;5.23;192.7
"2018";"Teijo";379;2.46;154.1
"2018";"Tenhola";756;3.00;252.0
"2018";"Teponmäki";433;3.37;128.5
"2018";"Tervakoski";4034;8.74;461.6
"2018";"Tervolan kk.";973;3.18;306.0
"2018";"Tervon kk.";546;1.77;308.5
"2018";"Tesjoki";910;2.68;339.6
"2018";"Teuvan kk.";2733;15.51;176.2
"2018";"Tiistenjoki";224;2.01;111.4
"2018";"Tikkakoski";4214;6.29;670.0
"2018";"Tiukka";233;2.01;115.9
"2018";"Toholammin kk.";1600;7.54;212.2
"2018";"Toija";522;1.96;266.3
"2018";"Toijalan kt.";8381;16.43;510.1
"2018";"Toivakan kk.";1018;3.57;285.2
"2018";"Toivala - Vuorela";5705;10.57;539.7
"2018";"Tolpanniemi";1183;2.07;571.5
"2018";"Tornion kt.";16854;36.18;465.8
"2018";"Tottijärvi";203;1.54;131.8
"2018";"Träskby";564;5.45;103.5
"2018";"Tupos";2926;4.98;587.6
"2018";"Turenki";7497;13.92;538.6
"2018";"Turun kt.";274896;281.62;976.1
"2018";"Tuunaansaari";206;1.19;173.1
"2018";"Tuupovaaran kk.";498;2.05;242.9
"2018";"Tuuri";781;4.31;181.2
"2018";"Tuusniemen kk.";1023;2.95;346.8
"2018";"Tyrnävän kk.";3147;7.02;448.3
"2018";"Tölby";493;4.31;114.4
"2018";"Töysän kk.";908;5.00;181.6
"2018";"Uimaharju";1328;5.80;229.0
"2018";"Untamala";343;3.43;100.0
"2018";"Uotsola";1094;3.68;297.3
"2018";"Urjalan kk.";2306;8.40;274.5
"2018";"Utajärven kk.";1291;4.83;267.3
"2018";"Utsjoen kk.";328;1.41;232.6
"2018";"Utti";395;2.39;165.3
"2018";"Uudenkaarlepyyn kt.";3417;8.26;413.7
"2018";"Uudenkaupungin kt.";10294;19.24;535.0
"2018";"Uuraisten kk.";1114;3.93;283.5
"2018";"Vaalan kk.";1210;2.72;444.9
"2018";"Vaasan kt.";67548;69.17;976.6
"2018";"Vahdon kk.";1129;3.93;287.3
"2018";"Valkeakosken kt.";17084;20.13;848.7
"2018";"Valkeala";5895;10.81;545.3
"2018";"Valtimon kk.";955;3.43;278.4
"2018";"Vammalan kt.";10202;20.41;499.9
"2018";"Vampulan kk.";466;2.61;178.5
"2018";"Varkauden kt.";18883;32.63;578.7
"2018";"Varpaisjärven kk.";1101;3.15;349.5
"2018";"Vartsala";269;1.30;206.9
"2018";"Vasarainen";381;3.68;103.5
"2018";"Vasarla";260;1.94;134.0
"2018";"Vaskiluoto";344;2.42;142.1
"2018";"Vaskio";284;1.37;207.3
"2018";"Vastamäki";578;3.66;157.9
"2018";"Vattukylä";246;1.81;135.9
"2018";"Vehmersalmen kk.";562;1.29;435.7
"2018";"Veikkaala";222;1.65;134.5
"2018";"Veikkola";6190;17.84;347.0
"2018";"Veneskoski";340;2.12;160.4
"2018";"Vesala";713;2.26;315.5
"2018";"Vesanka";949;5.28;179.7
"2018";"Vesannon kk.";815;2.81;290.0
"2018";"Vesilahden kk.";1635;4.43;369.1
"2018";"Vieremän kk.";1386;2.62;529.0
"2018";"Vierumäki";430;2.55;168.6
"2018";"Vihannin kk.";1096;3.48;314.9
"2018";"Vihdin kk.";3487;5.62;620.5
"2018";"Viialan kk.";5158;11.44;450.9
"2018";"Viinijärvi";773;3.47;222.8
"2018";"Viitasaaren kt.";3567;6.75;528.4
"2018";"Viitikko";244;1.44;169.4
"2018";"Viljakkalan kk.";588;2.37;248.1
"2018";"Vilniemi";521;1.32;394.7
"2018";"Vimpelin kk.";1999;9.83;203.4
"2018";"Vinkkilä";1054;6.17;170.8
"2018";"Virenoja";308;2.57;119.8
"2018";"Virojoki";1114;5.60;198.9
"2018";"Virtain kt.";3431;9.67;354.8
"2018";"Virtasalmen kk.";222;0.97;228.9
"2018";"Virttaa";242;1.62;149.4
"2018";"Visuvesi";307;1.93;159.1
"2018";"Voolahti";297;2.34;126.9
"2018";"Vuokatti";6167;13.85;445.3
"2018";"Vuolijoen kk.";387;1.40;276.4
"2018";"Vuores";4933;3.03;1628.1
"2018";"Vähäkangas";297;1.87;158.8
"2018";"Vähäkyrön kk.";3532;21.01;168.1
"2018";"Västerbyn";202;0.81;249.4
"2018";"Vääksy";4834;9.35;517.0
"2018";"Vöyrin kk.";1796;9.02;199.1
"2018";"Ylihärmän kk.";2167;10.14;213.7
"2018";"Yli-Iin kirkons.";661;2.44;270.9
"2018";"Ylikiimingin kk.";713;2.58;276.4
"2018";"Ylimarkku";500;3.53;141.6
"2018";"Yliskulma";254;2.31;110.0
"2018";"Ylistaron kk.";2550;12.58;202.7
"2018";"Ylitornion kk.";1888;6.75;279.7
"2018";"Ylivieskan kt.";12378;27.94;443.0
"2018";"Ylämaan kk.";406;1.79;226.8
"2018";"Yläneen kk.";945;4.03;234.5
"2018";"Yppäri";359;3.03;118.5
"2018";"Ypäjän kk.";936;3.98;235.2
"2018";"Äetsän kk.";2145;9.67;221.8
"2018";"Ähtärin kt.";3281;7.43;441.6
"2018";"Ähtävä";760;4.98;152.6
"2018";"Äkäslompolo";463;4.86;95.3
"2018";"Ämmänsaari";4009;8.50;471.6
"2018";"Äystö";299;2.44;122.5
"2018";"Äänekosken kt.";8439;10.53;801.4
"2018";"Ödkarby";380;3.35;113.4
